Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
15-07-2024,07:21:00,CNR2946309760,Success,CID984343,Prime Plus,null,null,No,null,467.00,Cash,24.00,4.50,4.20
19-07-2024,10:29:00,CNR3472489570,Driver Not Found,CID621402,Prime SUV,null,null,null,null,565.00,null,0.00,null,null
07-07-2024,16:56:00,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,null,More than permitted people in there,null,null,276.00,null,0.00,null,null
06-07-2024,01:18:00,CNR7486448495,Success,CID931462,Auto,null,null,No,null,296.00,UPI,5.00,4.00,4.30
04-07-2024,15:32:00,CNR2735636504,Driver Not Found,CID111173,Prime SUV,null,null,null,null,1310.00,null,0.00,null,null
26-07-2024,17:17:00,CNR7533317866,Canceled by Customer,CID867762,Mini,AC is Not working,null,null,null,771.00,null,0.00,null,null
01-07-2024,02:55:00,CNR5758479139,Success,CID805528,Prime Sedan,null,null,No,null,279.00,Cash,43.00,4.30,3.40
22-07-2024,16:24:00,CNR8021985469,Success,CID604351,Mini,null,null,No,null,321.00,Cash,39.00,3.30,4.70
21-07-2024,19:56:00,CNR3800597072,Success,CID386103,Mini,null,null,No,null,457.00,Cash,1.00,4.10,3.40
05-07-2024,13:55:00,CNR6179425512,Success,CID607886,Mini,null,null,No,null,139.00,Cash,45.00,4.90,3.80
29-07-2024,19:40:00,CNR7924302885,Success,CID517661,Auto,null,null,Yes,Customer Demand,685.00,UPI,7.00,4.10,4.90
15-07-2024,21:19:00,CNR7181374756,Canceled by Driver,CID700952,Auto,null,More than permitted people in there,null,null,150.00,null,0.00,null,null
16-07-2024,13:15:00,CNR2830899440,Success,CID808607,Mini,null,null,No,null,196.00,UPI,21.00,4.30,3.40
14-07-2024,11:37:00,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,null,Personal & Car related issue,null,null,424.00,null,0.00,null,null
11-07-2024,21:40:00,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,null,More than permitted people in there,null,null,827.00,null,0.00,null,null
14-07-2024,04:15:00,CNR8854206454,Success,CID932765,eBike,null,null,No,null,770.00,Cash,27.00,3.30,4.30
17-07-2024,07:30:00,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,null,null,null,null,325.00,null,0.00,null,null
04-07-2024,14:43:00,CNR6215530366,Success,CID713821,eBike,null,null,No,null,986.00,Cash,18.00,4.60,4.80
29-07-2024,14:56:00,CNR4314026109,Success,CID259573,Prime SUV,null,null,No,null,2208.00,Cash,40.00,4.00,4.50
17-07-2024,19:55:00,CNR9027465661,Success,CID737388,Prime Sedan,null,null,No,null,1695.00,UPI,20.00,4.50,4.70
20-07-2024,10:58:00,CNR5003494701,Canceled by Driver,CID761134,Mini,null,Customer related issue,null,null,305.00,null,0.00,null,null
08-07-2024,09:18:00,CNR2064658821,Success,CID954441,Bike,null,null,No,null,2271.00,Cash,37.00,3.40,4.20
07-07-2024,01:31:00,CNR2149029235,Success,CID596869,Auto,null,null,No,null,240.00,UPI,4.00,4.00,4.90
30-07-2024,01:20:00,CNR9704400677,Success,CID974657,Mini,null,null,No,null,482.00,Cash,37.00,4.40,3.90
03-07-2024,11:25:00,CNR8836460204,Success,CID716037,eBike,null,null,No,null,536.00,UPI,17.00,3.90,4.40
11-07-2024,10:44:00,CNR3697318609,Success,CID915228,Bike,null,null,No,null,188.00,UPI,37.00,4.90,4.10
22-07-2024,18:17:00,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,null,Customer related issue,null,null,202.00,null,0.00,null,null
21-07-2024,06:54:00,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,null,Customer related issue,null,null,1609.00,null,0.00,null,null
22-07-2024,00:21:00,CNR8346388703,Canceled by Driver,CID680143,Mini,null,Personal & Car related issue,null,null,1821.00,null,0.00,null,null
26-07-2024,09:39:00,CNR4445082348,Success,CID336831,Mini,null,null,No,null,415.00,UPI,22.00,3.60,3.10
26-07-2024,06:06:00,CNR5528764313,Success,CID808205,Prime SUV,null,null,No,null,2125.00,UPI,6.00,3.80,4.60
03-07-2024,15:04:00,CNR3967141568,Canceled by Driver,CID163765,Auto,null,Customer related issue,null,null,758.00,null,0.00,null,null
07-07-2024,09:55:00,CNR7054352438,Driver Not Found,CID270321,Mini,null,null,null,null,653.00,null,0.00,null,null
22-07-2024,12:51:00,CNR1640228587,Success,CID190281,Prime Sedan,null,null,Yes,Other Issue,704.00,Cash,42.00,4.70,4.80
19-07-2024,04:48:00,CNR6684033796,Success,CID352268,Auto,null,null,No,null,385.00,Cash,19.00,4.10,3.70
01-07-2024,05:03:00,CNR4158584922,Success,CID772392,Auto,null,null,No,null,934.00,UPI,12.00,3.30,5.00
23-07-2024,04:01:00,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,null,Customer related issue,null,null,615.00,null,0.00,null,null
26-07-2024,08:22:00,CNR5661490576,Success,CID546076,Bike,null,null,No,null,2202.00,Cash,44.00,4.70,3.40
05-07-2024,12:36:00,CNR2304446757,Success,CID432144,eBike,null,null,No,null,205.00,Cash,43.00,4.10,3.10
18-07-2024,07:21:00,CNR3780555542,Canceled by Customer,CID803813,Mini,Driver asked to cancel,null,null,null,513.00,null,0.00,null,null
21-07-2024,08:21:00,CNR1559782157,Success,CID906966,Auto,null,null,No,null,247.00,Cash,8.00,3.10,3.30
13-07-2024,02:55:00,CNR7623690602,Success,CID526261,Bike,null,null,Yes,Other Issue,558.00,UPI,41.00,3.20,3.20
08-07-2024,07:56:00,CNR2098165198,Success,CID619972,Prime Sedan,null,null,No,null,291.00,UPI,5.00,3.80,3.30
22-07-2024,04:32:00,CNR5502012579,Success,CID748475,Mini,null,null,No,null,925.00,Cash,22.00,3.00,4.00
24-07-2024,21:58:00,CNR4698965967,Success,CID529347,Prime Sedan,null,null,No,null,121.00,Cash,44.00,3.80,4.50
21-07-2024,03:13:00,CNR8566688320,Driver Not Found,CID175878,Bike,null,null,null,null,404.00,null,0.00,null,null
29-07-2024,12:44:00,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Change of plans,null,null,null,223.00,null,0.00,null,null
15-07-2024,08:31:00,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,null,null,null,null,2989.00,null,0.00,null,null
01-07-2024,11:01:00,CNR3404012927,Success,CID344186,Mini,null,null,No,null,728.00,Cash,14.00,4.30,5.00
11-07-2024,10:50:00,CNR9282027845,Success,CID767941,Bike,null,null,No,null,2416.00,UPI,49.00,3.10,3.80
30-07-2024,10:02:00,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Driver is not moving towards pickup location,null,null,null,371.00,null,0.00,null,null
07-07-2024,18:36:00,CNR4241139229,Success,CID133723,Prime Plus,null,null,No,null,258.00,Cash,32.00,4.70,4.10
27-07-2024,23:48:00,CNR8306274838,Driver Not Found,CID117206,Bike,null,null,null,null,170.00,null,0.00,null,null
16-07-2024,15:25:00,CNR1903850514,Canceled by Customer,CID126419,eBike,Driver asked to cancel,null,null,null,151.00,null,0.00,null,null
26-07-2024,21:02:00,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,null,Customer related issue,null,null,425.00,null,0.00,null,null
04-07-2024,03:31:00,CNR5744401218,Success,CID507511,Bike,null,null,No,null,220.00,UPI,2.00,3.40,3.10
16-07-2024,10:15:00,CNR7221640450,Success,CID195611,Prime Sedan,null,null,No,null,472.00,UPI,16.00,3.30,4.50
20-07-2024,22:27:00,CNR8395803905,Canceled by Driver,CID925776,eBike,null,Customer related issue,null,null,616.00,null,0.00,null,null
15-07-2024,09:20:00,CNR3750351374,Success,CID524066,Prime SUV,null,null,No,null,473.00,Cash,49.00,4.00,4.20
04-07-2024,18:13:00,CNR2869164142,Success,CID884352,Prime SUV,null,null,No,null,259.00,Cash,11.00,4.80,4.50
27-07-2024,11:58:00,CNR8303547069,Success,CID471469,Mini,null,null,No,null,310.00,Credit Card,2.00,3.30,3.10
09-07-2024,21:32:00,CNR7368110421,Canceled by Driver,CID372218,Mini,null,Personal & Car related issue,null,null,200.00,null,0.00,null,null
30-07-2024,10:14:00,CNR7500310853,Success,CID377809,Prime Sedan,null,null,No,null,471.00,UPI,39.00,3.50,3.70
13-07-2024,21:23:00,CNR8925319975,Success,CID388701,Prime Sedan,null,null,No,null,442.00,UPI,37.00,4.10,4.50
29-07-2024,19:56:00,CNR9261561390,Success,CID853883,Auto,null,null,No,null,228.00,Cash,10.00,3.70,4.30
24-07-2024,09:25:00,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,null,Customer was coughing/sick,null,null,232.00,null,0.00,null,null
29-07-2024,23:15:00,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,null,null,null,null,344.00,null,0.00,null,null
08-07-2024,07:52:00,CNR5613886410,Success,CID107686,Auto,null,null,No,null,2604.00,UPI,10.00,3.80,4.10
16-07-2024,04:52:00,CNR5841521780,Success,CID768996,Prime SUV,null,null,No,null,274.00,Cash,37.00,3.10,3.60
09-07-2024,13:07:00,CNR1281921513,Canceled by Customer,CID163474,Mini,Driver is not moving towards pickup location,null,null,null,895.00,null,0.00,null,null
26-07-2024,16:05:00,CNR2959980296,Success,CID509309,Bike,null,null,No,null,279.00,Cash,34.00,4.50,3.20
26-07-2024,23:32:00,CNR6765124275,Success,CID630281,Prime Sedan,null,null,No,null,1946.00,Cash,16.00,3.00,3.50
05-07-2024,04:23:00,CNR9762994658,Success,CID443169,Prime Plus,null,null,No,null,1024.00,UPI,4.00,4.80,4.10
23-07-2024,10:25:00,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Driver asked to cancel,null,null,null,294.00,null,0.00,null,null
23-07-2024,19:44:00,CNR8116331340,Success,CID777382,Auto,null,null,No,null,252.00,UPI,8.00,4.00,4.80
28-07-2024,10:29:00,CNR3491700602,Success,CID247449,Mini,null,null,No,null,2542.00,UPI,2.00,3.50,4.10
19-07-2024,15:04:00,CNR2166456022,Success,CID930312,Mini,null,null,No,null,1821.00,Cash,34.00,4.40,4.70
12-07-2024,08:33:00,CNR2177201692,Success,CID614111,Mini,null,null,No,null,200.00,Cash,31.00,4.90,4.00
16-07-2024,10:22:00,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,null,Customer was coughing/sick,null,null,152.00,null,0.00,null,null
25-07-2024,11:15:00,CNR4484571820,Success,CID645793,Auto,null,null,No,null,2388.00,Cash,4.00,4.40,3.60
28-07-2024,06:34:00,CNR7377461832,Success,CID719814,eBike,null,null,No,null,783.00,Cash,37.00,3.50,3.50
03-07-2024,20:56:00,CNR2363111317,Driver Not Found,CID665310,Prime Plus,null,null,null,null,208.00,null,0.00,null,null
17-07-2024,07:28:00,CNR2976802436,Success,CID592039,Prime SUV,null,null,No,null,1181.00,UPI,10.00,3.40,4.90
01-07-2024,03:29:00,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,Change of plans,null,null,null,843.00,null,0.00,null,null
20-07-2024,13:53:00,CNR1945536909,Success,CID796614,Auto,null,null,No,null,441.00,Cash,7.00,3.00,3.10
10-07-2024,02:02:00,CNR8097291227,Success,CID734844,Prime Plus,null,null,No,null,332.00,UPI,38.00,3.80,3.40
12-07-2024,16:22:00,CNR1433815646,Success,CID307267,Prime SUV,null,null,No,null,832.00,Cash,11.00,3.40,4.10
15-07-2024,06:58:00,CNR5876056264,Success,CID568720,Prime SUV,null,null,No,null,1361.00,UPI,47.00,4.00,3.90
04-07-2024,21:47:00,CNR2943788515,Canceled by Driver,CID627311,Bike,null,More than permitted people in there,null,null,415.00,null,0.00,null,null
28-07-2024,07:06:00,CNR5599931622,Success,CID822709,Prime SUV,null,null,No,null,747.00,Cash,28.00,3.80,3.00
02-07-2024,01:54:00,CNR6776927575,Success,CID817693,Bike,null,null,No,null,129.00,Cash,5.00,4.40,4.20
10-07-2024,18:38:00,CNR4880622143,Success,CID602848,eBike,null,null,No,null,296.00,UPI,34.00,3.30,4.20
27-07-2024,03:13:00,CNR2841702950,Success,CID268274,Auto,null,null,No,null,337.00,UPI,18.00,4.50,4.20
09-07-2024,14:52:00,CNR2747846957,Success,CID700413,Prime Sedan,null,null,No,null,896.00,UPI,45.00,4.00,4.10
05-07-2024,09:33:00,CNR4795488474,Success,CID943263,Prime Sedan,null,null,No,null,151.00,Credit Card,11.00,4.00,4.80
06-07-2024,10:00:00,CNR6662649739,Success,CID295666,Auto,null,null,No,null,940.00,Debit Card,7.00,3.20,3.50
10-07-2024,09:28:00,CNR2524442918,Success,CID471692,Prime Plus,null,null,No,null,729.00,Credit Card,13.00,4.50,5.00
01-07-2024,10:12:00,CNR4977956798,Success,CID782900,Auto,null,null,No,null,128.00,Cash,1.00,4.60,4.80
26-07-2024,15:07:00,CNR2002215420,Success,CID109502,Prime SUV,null,null,No,null,274.00,Cash,42.00,4.00,3.40
13-07-2024,04:23:00,CNR9590311980,Success,CID957268,Auto,null,null,Yes,Customer Demand,352.00,Cash,8.00,5.00,3.80
30-07-2024,05:14:00,CNR3124565731,Success,CID578023,Auto,null,null,No,null,238.00,UPI,6.00,4.50,3.00
20-07-2024,11:34:00,CNR6090870401,Success,CID301446,Prime SUV,null,null,No,null,477.00,Cash,19.00,4.10,4.30
23-07-2024,15:38:00,CNR9405757355,Success,CID176162,Auto,null,null,No,null,186.00,UPI,15.00,4.70,4.60
01-07-2024,11:55:00,CNR7078608984,Driver Not Found,CID926832,eBike,null,null,null,null,117.00,null,0.00,null,null
10-07-2024,18:52:00,CNR4166475803,Success,CID615978,Prime SUV,null,null,No,null,193.00,UPI,13.00,3.80,3.20
06-07-2024,12:51:00,CNR3641224150,Success,CID431557,Mini,null,null,No,null,395.00,UPI,41.00,4.30,4.80
14-07-2024,16:42:00,CNR7307808711,Success,CID928859,Prime SUV,null,null,No,null,857.00,Cash,45.00,4.70,4.00
16-07-2024,22:49:00,CNR9207534980,Canceled by Driver,CID926602,Prime Plus,null,Customer related issue,null,null,819.00,null,0.00,null,null
13-07-2024,10:16:00,CNR8478607960,Success,CID374876,Prime Sedan,null,null,No,null,484.00,UPI,16.00,4.10,4.50
04-07-2024,08:50:00,CNR6867991693,Success,CID139968,Prime Plus,null,null,No,null,648.00,Cash,3.00,4.90,4.80
04-07-2024,11:55:00,CNR4134417165,Success,CID298474,Bike,null,null,No,null,153.00,Cash,20.00,4.10,3.90
21-07-2024,01:50:00,CNR6026842144,Success,CID533256,Prime SUV,null,null,No,null,232.00,Credit Card,28.00,4.30,4.70
05-07-2024,08:41:00,CNR1373400641,Canceled by Driver,CID137733,Mini,null,More than permitted people in there,null,null,478.00,null,0.00,null,null
01-07-2024,05:01:00,CNR7756361076,Canceled by Driver,CID843494,Auto,null,Customer was coughing/sick,null,null,850.00,null,0.00,null,null
06-07-2024,00:38:00,CNR1058833099,Success,CID705304,Bike,null,null,No,null,673.00,Cash,25.00,4.10,3.60
22-07-2024,12:46:00,CNR8150133799,Driver Not Found,CID406881,eBike,null,null,null,null,315.00,null,0.00,null,null
20-07-2024,00:11:00,CNR3136784868,Success,CID703583,Prime SUV,null,null,No,null,1033.00,Cash,2.00,4.10,3.60
17-07-2024,03:54:00,CNR2919641369,Canceled by Customer,CID137586,Prime SUV,Driver is not moving towards pickup location,null,null,null,825.00,null,0.00,null,null
23-07-2024,23:49:00,CNR4311649934,Canceled by Customer,CID379072,Prime SUV,Wrong Address,null,null,null,213.00,null,0.00,null,null
28-07-2024,13:53:00,CNR8258871692,Driver Not Found,CID804974,Auto,null,null,null,null,125.00,null,0.00,null,null
29-07-2024,00:08:00,CNR7844432925,Success,CID635965,Prime SUV,null,null,No,null,362.00,Cash,36.00,4.10,4.60
03-07-2024,16:49:00,CNR3149119791,Success,CID606573,Mini,null,null,No,null,471.00,Credit Card,22.00,3.50,3.30
01-07-2024,22:15:00,CNR6545513695,Success,CID932866,Prime SUV,null,null,No,null,163.00,UPI,23.00,4.30,4.30
13-07-2024,03:12:00,CNR6427297269,Success,CID418039,Mini,null,null,No,null,142.00,Cash,6.00,3.80,3.60
25-07-2024,03:49:00,CNR1684336791,Canceled by Customer,CID339379,Prime Plus,AC is Not working,null,null,null,451.00,null,0.00,null,null
05-07-2024,09:23:00,CNR8107628541,Canceled by Customer,CID131079,Prime SUV,Driver is not moving towards pickup location,null,null,null,358.00,null,0.00,null,null
03-07-2024,18:16:00,CNR8516392891,Success,CID214348,Prime Sedan,null,null,No,null,365.00,Cash,36.00,4.90,4.00
12-07-2024,12:38:00,CNR5043217856,Canceled by Driver,CID298396,Auto,null,Personal & Car related issue,null,null,752.00,null,0.00,null,null
18-07-2024,17:39:00,CNR7829903493,Canceled by Driver,CID459892,eBike,null,Customer was coughing/sick,null,null,531.00,null,0.00,null,null
17-07-2024,22:51:00,CNR4290294193,Canceled by Driver,CID451045,Auto,null,Customer was coughing/sick,null,null,111.00,null,0.00,null,null
30-07-2024,17:37:00,CNR4330381266,Success,CID215319,Auto,null,null,No,null,216.00,UPI,5.00,4.40,4.30
11-07-2024,10:25:00,CNR6146948780,Success,CID988392,eBike,null,null,No,null,147.00,UPI,39.00,3.30,3.20
23-07-2024,06:51:00,CNR4211386643,Canceled by Driver,CID351096,eBike,null,Customer related issue,null,null,433.00,null,0.00,null,null
21-07-2024,16:24:00,CNR5828080027,Success,CID562246,Prime Plus,null,null,No,null,664.00,UPI,24.00,3.60,4.40
24-07-2024,00:10:00,CNR5043719137,Success,CID638458,Mini,null,null,No,null,159.00,UPI,40.00,4.00,4.70
28-07-2024,16:31:00,CNR2332223815,Success,CID557188,Mini,null,null,No,null,556.00,UPI,27.00,5.00,3.20
24-07-2024,02:27:00,CNR5863244684,Success,CID798517,eBike,null,null,Yes,Customer Demand,184.00,Cash,2.00,4.30,4.40
19-07-2024,22:54:00,CNR2051641681,Success,CID776786,Auto,null,null,No,null,295.00,Cash,6.00,3.50,3.20
04-07-2024,00:38:00,CNR6963252366,Success,CID565564,Bike,null,null,No,null,794.00,Cash,25.00,4.80,4.00
02-07-2024,22:59:00,CNR6561084640,Success,CID983895,Bike,null,null,No,null,330.00,Cash,27.00,4.00,4.10
03-07-2024,18:29:00,CNR8606343558,Success,CID193075,Bike,null,null,No,null,187.00,UPI,34.00,4.90,3.80
24-07-2024,10:52:00,CNR6129451090,Success,CID579290,Prime Sedan,null,null,No,null,487.00,Cash,9.00,3.60,3.80
19-07-2024,23:19:00,CNR8991153488,Canceled by Driver,CID563608,eBike,null,Personal & Car related issue,null,null,426.00,null,0.00,null,null
14-07-2024,08:16:00,CNR3555127202,Success,CID334563,Auto,null,null,No,null,229.00,Cash,15.00,4.60,5.00
30-07-2024,18:06:00,CNR2478670622,Success,CID381271,Prime Plus,null,null,No,null,445.00,UPI,48.00,4.90,4.60
29-07-2024,12:13:00,CNR2637746164,Success,CID131513,Auto,null,null,No,null,134.00,Cash,8.00,3.30,4.00
16-07-2024,10:32:00,CNR1098685369,Success,CID366678,Auto,null,null,No,null,119.00,Cash,9.00,4.20,4.00
02-07-2024,18:20:00,CNR3013333422,Driver Not Found,CID377403,eBike,null,null,null,null,214.00,null,0.00,null,null
30-07-2024,09:17:00,CNR6731320458,Success,CID470881,Prime Sedan,null,null,No,null,113.00,Cash,14.00,4.90,3.60
28-07-2024,10:17:00,CNR1523677800,Canceled by Driver,CID967088,Prime SUV,null,Personal & Car related issue,null,null,362.00,null,0.00,null,null
09-07-2024,20:36:00,CNR5683291566,Success,CID221217,Prime SUV,null,null,No,null,545.00,UPI,6.00,3.30,4.90
11-07-2024,10:28:00,CNR9411398805,Success,CID416695,Prime Plus,null,null,No,null,498.00,Cash,11.00,3.20,4.30
15-07-2024,22:51:00,CNR7845975089,Driver Not Found,CID221620,Bike,null,null,null,null,117.00,null,0.00,null,null
